title,description,Genre,Actors,Poster,imdb_score,tags
The Magic School Bus,An eccentric schoolteacher takes her class on wondrous educational field trips with the help of a magical school bus.,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","Lily Tomlin, Daniel DeSanto, Tara Meyer, Erica Luttrell",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzNzg2Nzk1Ml5BMl5BanBnXkFtZTcwMTUyMzAzMQ@@._V1_SX300.jpg,7.8,"An eccentric schoolteacher takes her class on wondrous educational field trips with the help of a magical school bus.SHOWAnimation, Adventure, Comedy, Family, Fantasy, Sci-FiUS, CALily Tomlin, Daniel DeSanto, Tara Meyer, Erica Luttrell"
Power Rangers,"A team of teenagers with attitude are recruited to save Angel Grove from the evil witch, Rita Repulsa, and later, Lord Zedd, Emperor of all he sees, and their horde of monsters.","Action, Adventure, Sci-Fi","Ludi Lin, Naomi Scott, RJ Cyler, Dacre Montgomery",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1MTkxNzc5NF5BMl5BanBnXkFtZTgwOTM2Mzk3MTI@._V1_SX300.jpg,6.5,"A team of teenagers with attitude are recruited to save Angel Grove from the evil witch, Rita Repulsa, and later, Lord Zedd, Emperor of all he sees, and their horde of monsters.SHOWAction, Adventure, Sci-FiUSLudi Lin, Naomi Scott, RJ Cyler, Dacre Montgomery"
Goosebumps,"Anything can turn spooky in this horror anthology series based on the best-selling books by master of kid horror, R.L. Stine. In every episode, see what happens when regular kids find themselves in scary situations, and how they work to confront and overcome their fears.","Adventure, Comedy, Family, Fantasy, Horror","Odeya Rush, Ryan Lee, Dylan Minnette, Jack Black",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1OTUzNTQ5Ml5BMl5BanBnXkFtZTgwODQ4NDkxNjE@._V1_SX300.jpg,7.6,"Anything can turn spooky in this horror anthology series based on the best-selling books by master of kid horror, R.L. Stine. In every episode, see what happens when regular kids find themselves in scary situations, and how they work to confront and overcome their fears.SHOWAdventure, Comedy, Family, Fantasy, HorrorCA, USOdeya Rush, Ryan Lee, Dylan Minnette, Jack Black"
Goosebumps,"Anything can turn spooky in this horror anthology series based on the best-selling books by master of kid horror, R.L. Stine. In every episode, see what happens when regular kids find themselves in scary situations, and how they work to confront and overcome their fears.","Family, Fantasy, Horror, Mystery, Thriller","Kathryn Short, R.L. Stine, Cody Jones, Scott Wickware",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5NDQyOTQ4OV5BMl5BanBnXkFtZTcwMTM1ODA1MQ@@._V1_SX300.jpg,7.6,"Anything can turn spooky in this horror anthology series based on the best-selling books by master of kid horror, R.L. Stine. In every episode, see what happens when regular kids find themselves in scary situations, and how they work to confront and overcome their fears.SHOWFamily, Fantasy, Horror, Mystery, ThrillerCA, USKathryn Short, R.L. Stine, Cody Jones, Scott Wickware"
Yu-Gi-Oh!,"A timid young boy who loves all sorts of games, one day solves an ancient puzzle known as the Millennium Puzzle, causing his body to play host to a mysterious spirit with the personality of a gambler.","Animation, Action, Adventure, Family, Fantasy",Dan Green,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4ODYzMDM1MF5BMl5BanBnXkFtZTcwOTM3MjE2MQ@@._V1_SX300.jpg,7.2,"A timid young boy who loves all sorts of games, one day solves an ancient puzzle known as the Millennium Puzzle, causing his body to play host to a mysterious spirit with the personality of a gambler.SHOWAnimation, Action, Adventure, Family, FantasyJPDan Green"
InuYasha,"Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbeknownst to Kagome, she is the reincarnation of priestess Kikyo and posseses the ""Jewel of Four Souls"" (the Shikon jewel). One ill-fated day, Kagome locates an ancient well near her home and is abruptly transported through the well and into a feudal Japan, inhabited by demons. There, she encounters Inuyasha, son of a powerful demon father and a human mother, who is pinned to a tree by an enchanted arrow.","Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance","Darren Pleavin, Kappei Yamaguchi, Richard Ian Cox, Satsuki Yukino",https://images-na.ssl-images-amazon.com/images/M/MV5BMTAyMjkyOTcwODheQTJeQWpwZ15BbWU3MDg2MjExMzE@._V1_SX300.jpg,7.9,"Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbeknownst to Kagome, she is the reincarnation of priestess Kikyo and posseses the ""Jewel of Four Souls"" (the Shikon jewel). One ill-fated day, Kagome locates an ancient well near her home and is abruptly transported through the well and into a feudal Japan, inhabited by demons. There, she encounters Inuyasha, son of a powerful demon father and a human mother, who is pinned to a tree by an enchanted arrow.SHOWAnimation, Action, Adventure, Comedy, Drama, Fantasy, RomanceJPDarren Pleavin, Kappei Yamaguchi, Richard Ian Cox, Satsuki Yukino"
"Sister, Sister","Twins Tia Landry and Tamera Campbell were separated and adopted at birth. Fourteen years later, they encounter each other by chance at the mall. After the families meet, Tia's widowed father agrees to let Tamera and her single mother move in with them.","Comedy, Drama, Family","Tia Mowry-Hardrict, Tamera Mowry-Housley, Jackée Harry, Tim Reid",https://m.media-amazon.com/images/M/MV5BMTYzMTMxOTE0Ml5BMl5BanBnXkFtZTcwNjA4OTkzMg@@._V1_SX300.jpg,6.2,"Twins Tia Landry and Tamera Campbell were separated and adopted at birth. Fourteen years later, they encounter each other by chance at the mall. After the families meet, Tia's widowed father agrees to let Tamera and her single mother move in with them.SHOWComedy, Drama, FamilyUSTia Mowry-Hardrict, Tamera Mowry-Housley, Jackée Harry, Tim Reid"
Girlfriends,"The series revolves around the friendship of four African-American women in different phases of their lives. They explore the many trials and tribulations that most women face today such as relationships, family, friends and other current issues that will interest most women. Whether it’s getting over a divorce, finding a career, or looking for true love, Girlfriends delivers along with comedy and wit.",Comedy,"Reginald C. Hayes, Tracee Ellis Ross, Golden Brooks, Persia White",https://m.media-amazon.com/images/M/MV5BMTQ2MTczNDI5MV5BMl5BanBnXkFtZTcwMjc4MzA1MQ@@._V1_SX300.jpg,7.2,"The series revolves around the friendship of four African-American women in different phases of their lives. They explore the many trials and tribulations that most women face today such as relationships, family, friends and other current issues that will interest most women. Whether it’s getting over a divorce, finding a career, or looking for true love, Girlfriends delivers along with comedy and wit.SHOWComedyUSReginald C. Hayes, Tracee Ellis Ross, Golden Brooks, Persia White"
The Parkers,"The Parkers is an American sitcom that aired on UPN from August 30, 1999, to May 10, 2004. A spin-off of UPN's Moesha, The Parkers features the mother-daughter team of Nikki and Kim Parker. The Parkers' signature ""Heeyyy"" greeting became very popular in the early 2000s.",Comedy,"Dorien Wilson, Countess Vaughn, Jenna von Oÿ, Mo'Nique",https://m.media-amazon.com/images/M/MV5BNGE0NmY3MmEtNWY2Yi00ZmQxLTkxNDAtNzZlNzE1NjMyODY3XkEyXkFqcGdeQXVyMjg0Mjg1MDM@._V1_SX300.jpg,6.8,"The Parkers is an American sitcom that aired on UPN from August 30, 1999, to May 10, 2004. A spin-off of UPN's Moesha, The Parkers features the mother-daughter team of Nikki and Kim Parker. The Parkers' signature ""Heeyyy"" greeting became very popular in the early 2000s.SHOWComedyUSDorien Wilson, Countess Vaughn, Jenna von Oÿ, Mo'Nique"
Oggy and the Cockroaches,"Oggy, an anthropomorphic cat, would prefer to spend his days watching television and eating, but is continuously pestered by three roaches: Joey, Marky and Dee Dee. The cockroaches' slapstick mischief ranges from plundering Oggy's refrigerator to hijacking the train he just boarded. In many situations Oggy is also helped by Jack, who is more violent and short-tempered than him and is also annoyed by the cockroaches. Bob, a short-tempered bulldog, also appears in the show, and is Oggy's neighbor.","Animation, Action, Comedy, Family",Hugues Le Bars,https://images-na.ssl-images-amazon.com/images/M/MV5BNzlkY2I0Y2ItYzY0OS00MWI5LTkwNTAtNzc0MjY0OGUwY2FmXkEyXkFqcGdeQXVyMTMxODU3NzM@._V1_SX300.jpg,7.4,"Oggy, an anthropomorphic cat, would prefer to spend his days watching television and eating, but is continuously pestered by three roaches: Joey, Marky and Dee Dee. The cockroaches' slapstick mischief ranges from plundering Oggy's refrigerator to hijacking the train he just boarded. In many situations Oggy is also helped by Jack, who is more violent and short-tempered than him and is also annoyed by the cockroaches. Bob, a short-tempered bulldog, also appears in the show, and is Oggy's neighbor.SHOWAnimation, Action, Comedy, FamilyFRHugues Le Bars"
H,"H is a French sitcom with seventy-one, 22-minute episodes. The series was created by Kader Aoun, Xavier Matthieu and Éric Judor, and produced by Phillippe Berthe, Édouard Molinaro, Jean-Luc Moreau and Charles Némès. It ran from 24 October 1998 to 20 April 2002 on Canal+. In Canada, it is shown weekly on TV5.

The title ""H"" comes from the three words that characterize the series: Humour, Histoire et Hôpital.","Drama, Mystery, Thriller","Jin-hee Ji, Jung-ah Yum, Cho Seung-woo, Ji-ru Sung",https://m.media-amazon.com/images/M/MV5BMTY3NjQwNDMwNV5BMl5BanBnXkFtZTcwNjE3ODgyMQ@@._V1_SX300.jpg,7.4,"H is a French sitcom with seventy-one, 22-minute episodes. The series was created by Kader Aoun, Xavier Matthieu and Éric Judor, and produced by Phillippe Berthe, Édouard Molinaro, Jean-Luc Moreau and Charles Némès. It ran from 24 October 1998 to 20 April 2002 on Canal+. In Canada, it is shown weekly on TV5.

The title ""H"" comes from the three words that characterize the series: Humour, Histoire et Hôpital.SHOWDrama, Mystery, ThrillerFRJin-hee Ji, Jung-ah Yum, Cho Seung-woo, Ji-ru Sung"
Heartbreak High,The ins and outs of the classroom lives of a group of students who attend the fictional Hartley High School in Sydney.,"Drama, Romance","Callan Mulvey, Lara Cox, Ada Nicodemou, Emma Roche",https://m.media-amazon.com/images/M/MV5BMTk5Mzg4MTU2Nl5BMl5BanBnXkFtZTcwNDIyNzcxMQ@@._V1_SX300.jpg,7.8,"The ins and outs of the classroom lives of a group of students who attend the fictional Hartley High School in Sydney.SHOWDrama, RomanceAUCallan Mulvey, Lara Cox, Ada Nicodemou, Emma Roche"
Breaking Bad,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.","Crime, Drama, Thriller","Betsy Brandt, Anna Gunn, Aaron Paul, Bryan Cranston",https://images-na.ssl-images-amazon.com/images/M/MV5BZDNhNzhkNDctOTlmOS00NWNmLWEyODQtNWMxM2UzYmJiNGMyXkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_SX300.jpg,9.5,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.SHOWCrime, Drama, ThrillerUSBetsy Brandt, Anna Gunn, Aaron Paul, Bryan Cranston"
The Walking Dead,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,"Drama, Horror, Thriller","Lauren Cohan, Norman Reedus, Melissa McBride, Danai Gurira",https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMDk1NDYyMV5BMl5BanBnXkFtZTgwNjE1NDU4MDI@._V1_SX300.jpg,8.2,"Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.SHOWDrama, Horror, ThrillerUSLauren Cohan, Norman Reedus, Melissa McBride, Danai Gurira"
The Great British Baking Show,Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,Reality-TV,"Mary Berry, Sue Perkins, Mel Giedroyc, Paul Hollywood",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4NjI1MDY1OF5BMl5BanBnXkFtZTgwMzIwOTcwMzE@._V1_SX300.jpg,8.6,"Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.SHOWReality-TVGBMary Berry, Sue Perkins, Mel Giedroyc, Paul Hollywood"
NCIS,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has a shred of evidence connected to Navy and Marine Corps personnel, regardless of rank or position.","Action, Crime, Drama, Mystery, Thriller","Mark Harmon, Sean Murray, David McCallum, Pauley Perrette",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4ODkwMTkyOF5BMl5BanBnXkFtZTgwMzk3NDQwMDI@._V1_SX300.jpg,7.8,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has a shred of evidence connected to Navy and Marine Corps personnel, regardless of rank or position.SHOWAction, Crime, Drama, Mystery, ThrillerUSMark Harmon, Sean Murray, David McCallum, Pauley Perrette"
Community,"Follow the lives of a group of students at what is possibly the world’s worst community college in the fictional locale of Greendale, Colorado.",Comedy,"Gillian Jacobs, Joel McHale, Danny Pudi, Alison Brie",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Njk2MzY2M15BMl5BanBnXkFtZTgwMDkxODg3MDE@._V1_SX300.jpg,8.5,"Follow the lives of a group of students at what is possibly the world’s worst community college in the fictional locale of Greendale, Colorado.SHOWComedyUSGillian Jacobs, Joel McHale, Danny Pudi, Alison Brie"
Heartland,"Life is hard on the Flemings' ranch in the Alberta foothills where abused or neglected horses find refuge with a kind, hard-working family. Debts abound and the bank is about to foreclose. Can they keep the ranch running?","Drama, Family","Graham Wardle, Amber Marshall, Michelle Morgan, Shaun Johnston",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MDIwMzE0OF5BMl5BanBnXkFtZTgwMTE1ODY5ODE@._V1_SX300.jpg,8.4,"Life is hard on the Flemings' ranch in the Alberta foothills where abused or neglected horses find refuge with a kind, hard-working family. Debts abound and the bank is about to foreclose. Can they keep the ranch running?SHOWDrama, FamilyCAGraham Wardle, Amber Marshall, Michelle Morgan, Shaun Johnston"
Supernatural,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ","Drama, Fantasy, Horror, Mystery, Thriller","Jared Padalecki, Jensen Ackles, Misha Collins",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1OTY0NTk5MTJeQTJeQWpwZ15BbWU4MDYwMjU4MjAy._V1_SX300.jpg,8.5,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. SHOWDrama, Fantasy, Horror, Mystery, ThrillerUSJared Padalecki, Jensen Ackles, Misha Collins"
Arrested Development,"The story of a wealthy family that lost everything, and the one son who had no choice but to keep them all together.",Comedy,"Portia de Rossi, Michael Cera, Will Arnett, Jason Bateman",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4OTIyNzA5NF5BMl5BanBnXkFtZTcwODQxMTE1OQ@@._V1_SX300.jpg,8.7,"The story of a wealthy family that lost everything, and the one son who had no choice but to keep them all together.SHOWComedyUSPortia de Rossi, Michael Cera, Will Arnett, Jason Bateman"
The IT Crowd,"Two I.T. nerds and their clueless female manager, who work in the basement of a very successful company. When they are called on for help, they are never treated with any respect at all.",Comedy,"Richard Ayoade, Matt Berry, Katherine Parkinson, Chris O'Dowd",https://images-na.ssl-images-amazon.com/images/M/MV5BMDlkNzIzNDctOWRhNC00Yzg1LWI0OGQtZjdiZTgzYTMyODk1XkEyXkFqcGdeQXVyMjQ1NjEyNzE@._V1_SX300.jpg,8.5,"Two I.T. nerds and their clueless female manager, who work in the basement of a very successful company. When they are called on for help, they are never treated with any respect at all.SHOWComedyGBRichard Ayoade, Matt Berry, Katherine Parkinson, Chris O'Dowd"
Avatar: The Last Airbender,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Animation, Action, Adventure, Family, Fantasy, Mystery","Jack De Sena, Zach Tyler, Dee Bradley Baker, Mae Whitman",https://images-na.ssl-images-amazon.com/images/M/MV5BZjhhYWU5N2UtOGU4Yi00M2E2LWE2ODktZDQ2MDNiN2RjNDgwXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,9.3,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.SHOWAnimation, Action, Adventure, Family, Fantasy, MysteryUSJack De Sena, Zach Tyler, Dee Bradley Baker, Mae Whitman"
Friday Night Lights,"The trials and triumphs of life in the small town of Dillon, Texas, where high school football is everything.","Action, Drama, Sport","Derek Luke, Billy Bob Thornton, Lucas Black, Garrett Hedlund",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxMDI5MTM4Ml5BMl5BanBnXkFtZTcwNjA4MDcyMQ@@._V1_SX300.jpg,8.7,"The trials and triumphs of life in the small town of Dillon, Texas, where high school football is everything.SHOWAction, Drama, SportUSDerek Luke, Billy Bob Thornton, Lucas Black, Garrett Hedlund"
My Little Pony: Friendship Is Magic,"""Get your muzzle out of those books and make some friends!"" That's what Princess Celestia tells Twilight Sparkle. She may be the smartest unicorn in Equestria, but Twilight Sparkle gets an ""incomplete"" in friendship. There's more to life than learning magic, after all -- so she goes to Ponyville on a mission to make friends. There she meets five special ponies who take her on exciting adventures and teach her the most powerful magic of all ... the magic of friendship!","Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical, Sci-Fi","Tabitha St. Germain, Ashleigh Ball, Andrea Libman, Tara Strong",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1NzQ1MDg5MV5BMl5BanBnXkFtZTcwMDIzODIxNw@@._V1_SX300.jpg,7.6,"""Get your muzzle out of those books and make some friends!"" That's what Princess Celestia tells Twilight Sparkle. She may be the smartest unicorn in Equestria, but Twilight Sparkle gets an ""incomplete"" in friendship. There's more to life than learning magic, after all -- so she goes to Ponyville on a mission to make friends. There she meets five special ponies who take her on exciting adventures and teach her the most powerful magic of all ... the magic of friendship!SHOWAnimation, Adventure, Comedy, Drama, Family, Fantasy, Musical, Sci-FiCA, USTabitha St. Germain, Ashleigh Ball, Andrea Libman, Tara Strong"
The Fairly OddParents,"The zany, fast-paced adventures of a 10-year-old boy and his fairy godparents, who inadvertently create havoc as they grant wishes for their pint-sized charge.","Animation, Adventure, Comedy, Family, Fantasy","Carlos Alazraqui, Susanne Blakeslee, Daran Norris, Tara Strong",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MzgzMzA4Nl5BMl5BanBnXkFtZTcwMDQ4NzIzMQ@@._V1_SX300.jpg,7.2,"The zany, fast-paced adventures of a 10-year-old boy and his fairy godparents, who inadvertently create havoc as they grant wishes for their pint-sized charge.SHOWAnimation, Adventure, Comedy, Family, FantasyUS, CACarlos Alazraqui, Susanne Blakeslee, Daran Norris, Tara Strong"
